month_year,state_name,volume_in_cr,value_in_cr,users_in_lakhs,transactions_in_lakhs
January 2021,Bihar,"2,120.00","10,600.00","1,120.00","5,600.00"
February 2021,Bihar,"2,260.00","11,300.00","1,200.00","6,000.00"
March 2021,Bihar,"2,400.00","12,000.00","1,280.00","6,400.00"
April 2021,Bihar,"2,520.00","12,600.00","1,344.00","6,720.00"
May 2021,Bihar,"2,700.00","13,500.00","1,440.00","7,200.00"
June 2021,Bihar,"2,880.00","14,400.00","1,536.00","7,680.00"
July 2021,Bihar,"3,060.00","15,300.00","1,632.00","8,160.00"
August 2021,Bihar,"3,240.00","16,200.00","1,728.00","8,640.00"
September 2021,Bihar,"3,420.00","17,100.00","1,824.00","9,120.00"
October 2021,Bihar,"3,600.00","18,000.00","1,920.00","9,600.00"
November 2021,Bihar,"3,825.00","18,900.00","2,016.00","10,080.00"
December 2021,Bihar,"4,050.00","19,800.00","2,112.00","10,560.00"
January 2022,Bihar,"4,350.00","21,000.00","2,268.00","11,200.00"
February 2022,Bihar,"4,650.00","22,200.00","2,424.00","11,840.00"
March 2022,Bihar,"4,950.00","23,400.00","2,580.00","12,480.00"
April 2022,Bihar,"5,250.00","24,600.00","2,736.00","13,120.00"
May 2022,Bihar,"5,588.00","25,950.00","2,904.00","13,824.00"
June 2022,Bihar,"6,200.00","28,000.00","3,200.00","15,200.00"
July 2022,Bihar,"6,815.00","30,800.00","3,520.00","16,720.00"
August 2022,Bihar,"7,430.00","33,600.00","3,840.00","18,240.00"
September 2022,Bihar,"8,045.00","36,400.00","4,160.00","19,760.00"
October 2022,Bihar,"9,050.00","41,000.00","4,640.00","22,400.00"
November 2022,Bihar,"9,790.00","43,900.00","4,992.00","24,000.00"
December 2022,Bihar,"10,575.00","47,100.00","5,376.00","25,760.00"
January 2023,Bihar,"11,300.00","50,000.00","5,712.00","27,360.00"
February 2023,Bihar,"11,865.00","52,300.00","5,968.00","28,512.00"
March 2023,Bihar,"12,430.00","54,600.00","6,224.00","29,664.00"
April 2023,Bihar,"12,995.00","56,900.00","6,480.00","30,816.00"
May 2023,Bihar,"13,695.00","59,900.00","6,816.00","32,184.00"
June 2023,Bihar,"15,025.00","66,300.00","7,536.00","36,096.00"
July 2023,Bihar,"16,355.00","72,700.00","8,256.00","40,008.00"
August 2023,Bihar,"17,685.00","79,100.00","8,976.00","43,920.00"
September 2023,Bihar,"19,015.00","85,500.00","9,696.00","47,832.00"
October 2023,Bihar,"20,345.00","91,900.00","10,416.00","51,744.00"
April 2016,Chandigarh,20,100,10.00,50.00
May 2016,Chandigarh,22,110,11.00,55.00
June 2016,Chandigarh,24,120,12.00,60.00
July 2016,Chandigarh,26,130,13.00,65.00
August 2016,Chandigarh,28,140,14.00,70.00
September 2016,Chandigarh,30,150,15.00,75.00
October 2016,Chandigarh,32,160,16.00,80.00
November 2016,Chandigarh,34,170,17.00,85.00
December 2016,Chandigarh,36,180,18.00,90.00
January 2017,Chandigarh,38,190,19.00,95.00
February 2017,Chandigarh,40,200,20.00,100.00
March 2017,Chandigarh,42,210,21.00,105.00
April 2017,Chandigarh,44,220,22.00,110.00
May 2017,Chandigarh,46,230,23.00,115.00
June 2017,Chandigarh,48,240,24.00,120.00
July 2017,Chandigarh,50,250,25.00,125.00
August 2017,Chandigarh,52,260,26.00,130.00
September 2017,Chandigarh,54,270,27.00,135.00
October 2017,Chandigarh,56,280,28.00,140.00
November 2017,Chandigarh,58,290,29.00,145.00
December 2017,Chandigarh,60,300,30.00,150.00
January 2018,Chandigarh,62,310,31.00,155.00
February 2018,Chandigarh,64,320,32.00,160.00
March 2018,Chandigarh,66,330,33.00,165.00
April 2018,Chandigarh,68,340,34.00,170.00
May 2018,Chandigarh,70,350,35.00,175.00
June 2018,Chandigarh,72,360,36.00,180.00
July 2018,Chandigarh,74,370,37.00,185.00
August 2018,Chandigarh,76,380,38.00,190.00
September 2018,Chandigarh,78,390,39.00,195.00
October 2018,Chandigarh,80,400,40.00,200.00
November 2018,Chandigarh,84,420,42.00,210.00
December 2018,Chandigarh,88,440,44.00,220.00
January 2019,Chandigarh,92,460,46.00,230.00
February 2019,Chandigarh,96,480,48.00,240.00
March 2019,Chandigarh,100,500,50.00,250.00
April 2019,Chandigarh,104,520,52.00,260.00
May 2019,Chandigarh,112,560,56.00,280.00
June 2019,Chandigarh,120,600,60.00,300.00
July 2019,Chandigarh,128,640,64.00,320.00
August 2019,Chandigarh,136,680,68.00,340.00
September 2019,Chandigarh,144,720,72.00,360.00
October 2019,Chandigarh,152,760,76.00,380.00
November 2019,Chandigarh,160,800,80.00,400.00
December 2019,Chandigarh,168,840,84.00,420.00
January 2020,Chandigarh,176,880,88.00,440.00
February 2020,Chandigarh,184,920,92.00,460.00
March 2020,Chandigarh,192,960,96.00,480.00
April 2020,Chandigarh,196,980,98.00,490.00
May 2020,Chandigarh,200,1000,100.00,500.00
June 2020,Chandigarh,224,1120,112.00,560.00
July 2020,Chandigarh,256,1280,128.00,640.00
August 2020,Chandigarh,288,1440,144.00,720.00
September 2020,Chandigarh,320,1600,160.00,800.00
October 2020,Chandigarh,352,1760,176.00,880.00
November 2020,Chandigarh,384,1920,192.00,960.00
December 2020,Chandigarh,416,2080,208.00,"1,040.00"
January 2021,Chandigarh,448,2240,224.00,"1,120.00"
February 2021,Chandigarh,480,2400,240.00,"1,200.00"
March 2021,Chandigarh,512,2560,256.00,"1,280.00"
April 2021,Chandigarh,537,2657,269.00,"1,337.00"
May 2021,Chandigarh,576,2880,288.00,"1,440.00"
June 2021,Chandigarh,615,3103,310.00,"1,550.00"
July 2021,Chandigarh,654,3326,333.00,"1,658.00"
August 2021,Chandigarh,693,3549,355.00,"1,767.00"
September 2021,Chandigarh,732,3772,377.00,"1,876.00"
October 2021,Chandigarh,771,3995,399.00,"1,985.00"
November 2021,Chandigarh,822,4257,426.00,"2,118.00"
December 2021,Chandigarh,879,4560,456.00,"2,274.00"
January 2022,Chandigarh,936,4863,486.00,"2,430.00"
February 2022,Chandigarh,993,5166,517.00,"2,586.00"
March 2022,Chandigarh,1050,5469,547.00,"2,742.00"
April 2022,Chandigarh,1107,5772,577.00,"2,898.00"
May 2022,Chandigarh,1170,6132,613.00,"3,072.00"
June 2022,Chandigarh,1296,6804,680.00,"3,408.00"
July 2022,Chandigarh,1422,7476,748.00,"3,744.00"
August 2022,Chandigarh,1548,8148,815.00,"4,080.00"
September 2022,Chandigarh,1674,8820,882.00,"4,416.00"
October 2022,Chandigarh,1890,10000,"1,000.00","5,000.00"
November 2022,Chandigarh,2025,10700,"1,070.00","5,350.00"
December 2022,Chandigarh,2175,11500,"1,150.00","5,750.00"
January 2023,Chandigarh,2325,12300,"1,230.00","6,150.00"
February 2023,Chandigarh,2430,12860,"1,286.00","6,430.00"
March 2023,Chandigarh,2535,13420,"1,342.00","6,710.00"
April 2023,Chandigarh,2640,13980,"1,398.00","6,990.00"
May 2023,Chandigarh,2790,14790,"1,479.00","7,395.00"
June 2023,Chandigarh,3090,16410,"1,641.00","8,205.00"
July 2023,Chandigarh,3390,18030,"1,803.00","9,015.00"
August 2023,Chandigarh,3690,19650,"1,965.00","9,825.00"
September 2023,Chandigarh,3990,21270,"2,127.00","10,635.00"
October 2023,Chandigarh,4290,22890,"2,289.00","11,445.00"
April 2016,Chhattisgarh,50.00,250.00,25.00,125.00
May 2016,Chhattisgarh,55.00,275.00,27.50,137.50
June 2016,Chhattisgarh,60.00,300.00,30.00,150.00
July 2016,Chhattisgarh,65.00,325.00,32.50,162.50
August 2016,Chhattisgarh,70.00,350.00,35.00,175.00
September 2016,Chhattisgarh,75.00,375.00,37.50,187.50
October 2016,Chhattisgarh,80.00,400.00,40.00,200.00
November 2016,Chhattisgarh,85.00,425.00,42.50,212.50
December 2016,Chhattisgarh,90.00,450.00,45.00,225.00
January 2017,Chhattisgarh,95.00,475.00,47.50,237.50
February 2017,Chhattisgarh,100.00,500.00,50.00,250.00
March 2017,Chhattisgarh,105.00,525.00,52.50,262.50
April 2017,Chhattisgarh,110.00,550.00,55.00,275.00
May 2017,Chhattisgarh,115.00,575.00,57.50,287.50
June 2017,Chhattisgarh,120.00,600.00,60.00,300.00
July 2017,Chhattisgarh,125.00,625.00,62.50,312.50
August 2017,Chhattisgarh,130.00,650.00,65.00,325.00
September 2017,Chhattisgarh,135.00,675.00,67.50,337.50
October 2017,Chhattisgarh,140.00,700.00,70.00,350.00
November 2017,Chhattisgarh,145.00,725.00,72.50,362.50
December 2017,Chhattisgarh,150.00,750.00,75.00,375.00
January 2018,Chhattisgarh,155.00,775.00,77.50,387.50
February 2018,Chhattisgarh,160.00,800.00,80.00,400.00
March 2018,Chhattisgarh,165.00,825.00,82.50,412.50
April 2018,Chhattisgarh,170.00,850.00,85.00,425.00
May 2018,Chhattisgarh,175.00,875.00,87.50,437.50
June 2018,Chhattisgarh,180.00,900.00,90.00,450.00
July 2018,Chhattisgarh,185.00,925.00,92.50,462.50
August 2018,Chhattisgarh,190.00,950.00,95.00,475.00
September 2018,Chhattisgarh,195.00,975.00,97.50,487.50
October 2018,Chhattisgarh,200.00,"1,000.00",100.00,500.00
November 2018,Chhattisgarh,210.00,"1,050.00",105.00,525.00
December 2018,Chhattisgarh,220.00,"1,100.00",110.00,550.00
January 2019,Chhattisgarh,230.00,"1,150.00",115.00,575.00
February 2019,Chhattisgarh,240.00,"1,200.00",120.00,600.00
March 2019,Chhattisgarh,250.00,"1,250.00",125.00,625.00
April 2019,Chhattisgarh,260.00,"1,300.00",130.00,650.00
May 2019,Chhattisgarh,280.00,"1,400.00",140.00,700.00
June 2019,Chhattisgarh,300.00,"1,500.00",150.00,750.00
July 2019,Chhattisgarh,320.00,"1,600.00",160.00,800.00
August 2019,Chhattisgarh,340.00,"1,700.00",170.00,850.00
September 2019,Chhattisgarh,360.00,"1,800.00",180.00,900.00
October 2019,Chhattisgarh,380.00,"1,900.00",190.00,950.00
November 2019,Chhattisgarh,400.00,"2,000.00",200.00,"1,000.00"
December 2019,Chhattisgarh,420.00,"2,100.00",210.00,"1,050.00"
January 2020,Chhattisgarh,440.00,"2,200.00",220.00,"1,100.00"
February 2020,Chhattisgarh,460.00,"2,300.00",230.00,"1,150.00"
March 2020,Chhattisgarh,480.00,"2,400.00",240.00,"1,200.00"
April 2020,Chhattisgarh,490.00,"2,450.00",245.00,"1,225.00"
May 2020,Chhattisgarh,500.00,"2,500.00",250.00,"1,250.00"
June 2020,Chhattisgarh,560.00,"2,800.00",280.00,"1,400.00"
July 2020,Chhattisgarh,640.00,"3,200.00",320.00,"1,600.00"
August 2020,Chhattisgarh,720.00,"3,600.00",360.00,"1,800.00"
September 2020,Chhattisgarh,800.00,"4,000.00",400.00,"2,000.00"
October 2020,Chhattisgarh,880.00,"4,400.00",440.00,"2,200.00"
November 2020,Chhattisgarh,960.00,"4,800.00",480.00,"2,400.00"
December 2020,Chhattisgarh,"1,040.00","5,200.00",520.00,"2,600.00"
January 2021,Chhattisgarh,"1,120.00","5,600.00",560.00,"2,800.00"
February 2021,Chhattisgarh,"1,200.00","6,000.00",600.00,"3,000.00"
March 2021,Chhattisgarh,"1,280.00","6,400.00",640.00,"3,200.00"
April 2021,Chhattisgarh,"1,344.00","6,720.00",672.00,"3,360.00"
May 2021,Chhattisgarh,"1,440.00","7,200.00",720.00,"3,600.00"
June 2021,Chhattisgarh,"1,536.00","7,680.00",768.00,"3,840.00"
July 2021,Chhattisgarh,"1,632.00","8,160.00",816.00,"4,080.00"
August 2021,Chhattisgarh,"1,728.00","8,640.00",864.00,"4,320.00"
September 2021,Chhattisgarh,"1,824.00","9,120.00",912.00,"4,560.00"
October 2021,Chhattisgarh,"1,920.00","9,600.00",960.00,"4,800.00"
November 2021,Chhattisgarh,"2,016.00","10,080.00","1,008.00","5,040.00"
December 2021,Chhattisgarh,"2,112.00","10,560.00","1,056.00","5,280.00"
January 2022,Chhattisgarh,"2,268.00","11,200.00","1,128.00","5,640.00"
February 2022,Chhattisgarh,"2,424.00","11,840.00","1,200.00","6,000.00"
March 2022,Chhattisgarh,"2,580.00","12,480.00","1,272.00","6,360.00"
April 2022,Chhattisgarh,"2,736.00","13,120.00","1,344.00","6,720.00"
May 2022,Chhattisgarh,"2,904.00","13,824.00","1,440.00","7,200.00"
June 2022,Chhattisgarh,"3,200.00","15,200.00","1,600.00","8,000.00"
July 2022,Chhattisgarh,"3,520.00","16,720.00","1,760.00","8,800.00"
August 2022,Chhattisgarh,"3,840.00","18,240.00","1,920.00","9,600.00"
September 2022,Chhattisgarh,"4,160.00","19,760.00","2,080.00","10,400.00"
October 2022,Chhattisgarh,"4,640.00","22,400.00","2,320.00","11,600.00"
November 2022,Chhattisgarh,"4,992.00","24,000.00","2,464.00","12,240.00"
December 2022,Chhattisgarh,"5,376.00","25,760.00","2,622.00","12,992.00"
January 2023,Chhattisgarh,"5,712.00","27,360.00","2,768.00","13,608.00"
February 2023,Chhattisgarh,"5,968.00","28,512.00","2,880.00","14,157.00"
March 2023,Chhattisgarh,"6,224.00","29,664.00","2,992.00","14,706.00"
April 2023,Chhattisgarh,"6,480.00","30,816.00","3,104.00","15,255.00"
May 2023,Chhattisgarh,"6,816.00","32,184.00","3,264.00","15,936.00"
June 2023,Chhattisgarh,"7,536.00","36,096.00","3,600.00","17,640.00"
July 2023,Chhattisgarh,"8,256.00","40,008.00","3,936.00","19,344.00"
August 2023,Chhattisgarh,"8,976.00","43,920.00","4,272.00","21,048.00"
September 2023,Chhattisgarh,"9,696.00","47,832.00","4,608.00","22,752.00"
October 2023,Chhattisgarh,"10,416.00","51,744.00","4,944.00","24,456.00"
April 2016,Dadra and Nagar Haveli and Daman and Diu,0.05,0.25,0.01,0.05
May 2016,Dadra and Nagar Haveli and Daman and Diu,0.06,0.3,0.02,0.10
June 2016,Dadra and Nagar Haveli and Daman and Diu,0.07,0.35,0.03,0.15
July 2016,Dadra and Nagar Haveli and Daman and Diu,0.08,0.4,0.04,0.20
August 2016,Dadra and Nagar Haveli and Daman and Diu,0.09,0.45,0.05,0.25
September 2016,Dadra and Nagar Haveli and Daman and Diu,0.1,0.5,0.06,0.30
October 2016,Dadra and Nagar Haveli and Daman and Diu,0.12,0.55,0.08,0.35
November 2016,Dadra and Nagar Haveli and Daman and Diu,0.15,0.65,0.10,0.45
December 2016,Dadra and Nagar Haveli and Daman and Diu,0.2,0.75,0.15,0.55
January 2017,Dadra and Nagar Haveli and Daman and Diu,0.25,0.85,0.20,0.65
February 2017,Dadra and Nagar Haveli and Daman and Diu,0.3,0.95,0.25,0.75
March 2017,Dadra and Nagar Haveli and Daman and Diu,0.35,1.05,0.30,0.85
April 2017,Dadra and Nagar Haveli and Daman and Diu,0.4,1.15,0.35,0.95
May 2017,Dadra and Nagar Haveli and Daman and Diu,0.45,1.25,0.40,1.05
June 2017,Dadra and Nagar Haveli and Daman and Diu,0.5,1.35,0.45,1.15
July 2017,Dadra and Nagar Haveli and Daman and Diu,0.6,1.55,0.55,1.35
August 2017,Dadra and Nagar Haveli and Daman and Diu,0.7,1.75,0.65,1.55
September 2017,Dadra and Nagar Haveli and Daman and Diu,0.8,1.95,0.75,1.75
October 2017,Dadra and Nagar Haveli and Daman and Diu,0.9,2.15,0.85,1.95
November 2017,Dadra and Nagar Haveli and Daman and Diu,1,2.35,0.95,2.15
December 2017,Dadra and Nagar Haveli and Daman and Diu,1.2,2.7,1.10,2.45
January 2018,Dadra and Nagar Haveli and Daman and Diu,1.4,3.05,1.25,2.75
February 2018,Dadra and Nagar Haveli and Daman and Diu,1.6,3.4,1.40,3.05
March 2018,Dadra and Nagar Haveli and Daman and Diu,1.8,3.75,1.55,3.35
April 2018,Dadra and Nagar Haveli and Daman and Diu,2,4.1,1.70,3.65
May 2018,Dadra and Nagar Haveli and Daman and Diu,2.25,4.6,1.90,4.10
June 2018,Dadra and Nagar Haveli and Daman and Diu,2.5,5.1,2.10,4.55
July 2018,Dadra and Nagar Haveli and Daman and Diu,2.75,5.6,2.30,5.00
August 2018,Dadra and Nagar Haveli and Daman and Diu,3,6.1,2.50,5.45
September 2018,Dadra and Nagar Haveli and Daman and Diu,3.3,6.75,2.75,6.05
October 2018,Dadra and Nagar Haveli and Daman and Diu,3.6,7.4,3.00,6.65
November 2018,Dadra and Nagar Haveli and Daman and Diu,3.9,8.05,3.25,7.25
December 2018,Dadra and Nagar Haveli and Daman and Diu,4.35,8.9,3.60,8.00
January 2019,Dadra and Nagar Haveli and Daman and Diu,4.8,9.75,3.95,8.75
February 2019,Dadra and Nagar Haveli and Daman and Diu,5.25,10.6,4.30,9.50
March 2019,Dadra and Nagar Haveli and Daman and Diu,5.7,11.45,4.65,10.25
April 2019,Dadra and Nagar Haveli and Daman and Diu,6.15,12.3,5.00,11.00
May 2019,Dadra and Nagar Haveli and Daman and Diu,6.75,13.6,5.50,12.10
June 2019,Dadra and Nagar Haveli and Daman and Diu,7.35,14.9,6.00,13.20
July 2019,Dadra and Nagar Haveli and Daman and Diu,7.95,16.2,6.50,14.30
August 2019,Dadra and Nagar Haveli and Daman and Diu,8.55,17.5,7.00,15.40
September 2019,Dadra and Nagar Haveli and Daman and Diu,9.15,18.8,7.50,16.50
October 2019,Dadra and Nagar Haveli and Daman and Diu,9.75,20.1,8.00,17.60
November 2019,Dadra and Nagar Haveli and Daman and Diu,10.5,21.7,8.60,19.00
December 2019,Dadra and Nagar Haveli and Daman and Diu,11.4,23.6,9.30,20.70
January 2020,Dadra and Nagar Haveli and Daman and Diu,12.3,25.5,10.00,22.40
February 2020,Dadra and Nagar Haveli and Daman and Diu,13.2,27.4,10.70,24.10
March 2020,Dadra and Nagar Haveli and Daman and Diu,14.1,29.3,11.40,25.80
April 2020,Dadra and Nagar Haveli and Daman and Diu,15,31.1,12.10,27.50
May 2020,Dadra and Nagar Haveli and Daman and Diu,16,33,12.90,29.30
June 2020,Dadra and Nagar Haveli and Daman and Diu,18.25,37.6,14.75,33.40
July 2020,Dadra and Nagar Haveli and Daman and Diu,20.5,42.2,16.60,37.50
August 2020,Dadra and Nagar Haveli and Daman and Diu,22.75,46.8,18.45,41.60
September 2020,Dadra and Nagar Haveli and Daman and Diu,25,51.4,20.30,45.70
October 2020,Dadra and Nagar Haveli and Daman and Diu,27.25,56,22.15,49.80
November 2020,Dadra and Nagar Haveli and Daman and Diu,30,61.2,24.45,54.60
December 2020,Dadra and Nagar Haveli and Daman and Diu,33.25,67.4,27.30,60.40
January 2021,Dadra and Nagar Haveli and Daman and Diu,36.5,73.6,30.15,66.20
February 2021,Dadra and Nagar Haveli and Daman and Diu,39.75,79.8,33.00,72.00
March 2021,Dadra and Nagar Haveli and Daman and Diu,43,86,35.85,77.80
April 2021,Dadra and Nagar Haveli and Daman and Diu,46.25,92.2,38.70,83.60
May 2021,Dadra and Nagar Haveli and Daman and Diu,50.5,99.6,42.00,90.20
June 2021,Dadra and Nagar Haveli and Daman and Diu,54.75,107,45.30,96.80
July 2021,Dadra and Nagar Haveli and Daman and Diu,59,114.4,48.60,103.40
August 2021,Dadra and Nagar Haveli and Daman and Diu,63.25,121.8,51.90,110.00
September 2021,Dadra and Nagar Haveli and Daman and Diu,67.5,129.2,55.20,116.60
October 2021,Dadra and Nagar Haveli and Daman and Diu,71.75,136.6,58.50,123.20
November 2021,Dadra and Nagar Haveli and Daman and Diu,77.25,146.4,62.35,131.40
December 2021,Dadra and Nagar Haveli and Daman and Diu,83.5,157.4,66.85,140.70
January 2022,Dadra and Nagar Haveli and Daman and Diu,89.75,168.4,71.35,150.00
February 2022,Dadra and Nagar Haveli and Daman and Diu,96,179.4,75.85,159.30
March 2022,Dadra and Nagar Haveli and Daman and Diu,102.25,190.4,80.35,168.60
April 2022,Dadra and Nagar Haveli and Daman and Diu,108.5,201.4,84.85,177.90
May 2022,Dadra and Nagar Haveli and Daman and Diu,115.5,213.7,90.00,188.10
June 2022,Dadra and Nagar Haveli and Daman and Diu,127.25,236.9,100.50,208.90
July 2022,Dadra and Nagar Haveli and Daman and Diu,139,260.1,111.00,229.70
August 2022,Dadra and Nagar Haveli and Daman and Diu,150.75,283.3,121.50,250.50
September 2022,Dadra and Nagar Haveli and Daman and Diu,162.5,306.5,132.00,271.30
October 2022,Dadra and Nagar Haveli and Daman and Diu,182.25,347,148.50,306.00
November 2022,Dadra and Nagar Haveli and Daman and Diu,197.7,373.2,161.35,331.95
December 2022,Dadra and Nagar Haveli and Daman and Diu,214.4,402.8,175.70,360.45
January 2023,Dadra and Nagar Haveli and Daman and Diu,231.1,432.4,190.05,388.95
February 2023,Dadra and Nagar Haveli and Daman and Diu,241.65,454,198.55,408.30
March 2023,Dadra and Nagar Haveli and Daman and Diu,252.2,475.6,207.05,427.65
April 2023,Dadra and Nagar Haveli and Daman and Diu,262.75,497.2,215.55,447.00
May 2023,Dadra and Nagar Haveli and Daman and Diu,276.9,523.2,226.30,472.50
June 2023,Dadra and Nagar Haveli and Daman and Diu,305.6,580.9,250.95,525.50
July 2023,Dadra and Nagar Haveli and Daman and Diu,334.3,638.6,275.60,578.50
August 2023,Dadra and Nagar Haveli and Daman and Diu,363,696.3,300.25,631.50
September 2023,Dadra and Nagar Haveli and Daman and Diu,391.7,754,324.90,684.50
October 2023,Dadra and Nagar Haveli and Daman and Diu,420.4,811.7,349.55,737.50
April 2016,Delhi,300,1500,150.00,750.00
May 2016,Delhi,330,1650,165.00,825.00
June 2016,Delhi,360,1800,180.00,900.00
July 2016,Delhi,390,1950,195.00,975.00
August 2016,Delhi,420,2100,210.00,"1,050.00"
September 2016,Delhi,450,2250,225.00,"1,125.00"
October 2016,Delhi,480,2400,240.00,"1,200.00"
November 2016,Delhi,510,2550,255.00,"1,275.00"
December 2016,Delhi,540,2700,270.00,"1,350.00"
January 2017,Delhi,570,2850,285.00,"1,425.00"
February 2017,Delhi,600,3000,300.00,"1,500.00"
March 2017,Delhi,630,3150,315.00,"1,575.00"
April 2017,Delhi,660,3300,330.00,"1,650.00"
May 2017,Delhi,690,3450,345.00,"1,725.00"
June 2017,Delhi,720,3600,360.00,"1,800.00"
July 2017,Delhi,750,3750,375.00,"1,875.00"
August 2017,Delhi,780,3900,390.00,"1,950.00"
September 2017,Delhi,810,4050,405.00,"2,025.00"
October 2017,Delhi,840,4200,420.00,"2,100.00"
November 2017,Delhi,870,4350,435.00,"2,175.00"
December 2017,Delhi,900,4500,450.00,"2,250.00"
January 2018,Delhi,930,4650,465.00,"2,325.00"
February 2018,Delhi,960,4800,480.00,"2,400.00"
March 2018,Delhi,990,4950,495.00,"2,475.00"
April 2018,Delhi,1020,5100,510.00,"2,550.00"
May 2018,Delhi,1050,5250,525.00,"2,625.00"
June 2018,Delhi,1080,5400,540.00,"2,700.00"
July 2018,Delhi,1110,5550,555.00,"2,775.00"
August 2018,Delhi,1140,5700,570.00,"2,850.00"
September 2018,Delhi,1170,5850,585.00,"2,925.00"
October 2018,Delhi,1200,6000,600.00,"3,000.00"
November 2018,Delhi,1260,6300,630.00,"3,150.00"
December 2018,Delhi,1320,6600,660.00,"3,300.00"
January 2019,Delhi,1380,6900,690.00,"3,450.00"
February 2019,Delhi,1440,7200,720.00,"3,600.00"
March 2019,Delhi,1500,7500,750.00,"3,750.00"
April 2019,Delhi,1560,7800,780.00,"3,900.00"
May 2019,Delhi,1680,8400,840.00,"4,200.00"
June 2019,Delhi,1800,9000,900.00,"4,500.00"
July 2019,Delhi,1920,9600,960.00,"4,800.00"
August 2019,Delhi,2040,10200,"1,020.00","5,100.00"
September 2019,Delhi,2160,10800,"1,080.00","5,400.00"
October 2019,Delhi,2280,11400,"1,140.00","5,700.00"
November 2019,Delhi,2400,12000,"1,200.00","6,000.00"
December 2019,Delhi,2520,12600,"1,260.00","6,300.00"
January 2020,Delhi,2640,13200,"1,320.00","6,600.00"
February 2020,Delhi,2760,13800,"1,380.00","6,900.00"
March 2020,Delhi,2880,14400,"1,440.00","7,200.00"
April 2020,Delhi,2940,14700,"1,470.00","7,350.00"
May 2020,Delhi,3000,15000,"1,500.00","7,500.00"
June 2020,Delhi,3360,16800,"1,680.00","8,400.00"
July 2020,Delhi,3840,19200,"1,920.00","9,600.00"
August 2020,Delhi,4320,21600,"2,160.00","10,800.00"
September 2020,Delhi,4800,24000,"2,400.00","12,000.00"
October 2020,Delhi,5280,26400,"2,640.00","13,200.00"
November 2020,Delhi,5760,28800,"2,880.00","14,400.00"
December 2020,Delhi,6240,31200,"3,120.00","15,600.00"
January 2021,Delhi,6720,33600,"3,360.00","16,800.00"
February 2021,Delhi,7200,36000,"3,600.00","18,000.00"
March 2021,Delhi,7680,38400,"3,840.00","19,200.00"
April 2021,Delhi,8064,40032,"4,003.00","20,016.00"
May 2021,Delhi,8640,43200,"4,320.00","21,600.00"
June 2021,Delhi,9216,46464,"4,647.00","23,232.00"
July 2021,Delhi,9792,49680,"4,968.00","24,816.00"
August 2021,Delhi,10368,52944,"5,294.00","26,448.00"
September 2021,Delhi,10944,56208,"5,621.00","28,080.00"
October 2021,Delhi,11520,59472,"5,948.00","29,712.00"
November 2021,Delhi,12288,63120,"6,312.00","31,520.00"
December 2021,Delhi,13056,66768,"6,678.00","33,328.00"
January 2022,Delhi,13992,70736,"7,074.00","35,328.00"
February 2022,Delhi,14928,74704,"7,470.00","37,248.00"
March 2022,Delhi,15864,78672,"7,868.00","39,168.00"
April 2022,Delhi,16800,82640,"8,265.00","41,104.00"
May 2022,Delhi,17832,87360,"8,737.00","43,392.00"
June 2022,Delhi,19616,96640,"9,664.00","48,000.00"
July 2022,Delhi,21400,105920,"10,592.00","52,480.00"
August 2022,Delhi,23184,115328,"11,535.00","57,008.00"
September 2022,Delhi,24968,124736,"12,474.00","61,536.00"
October 2022,Delhi,28224,141696,"14,170.00","69,840.00"
November 2022,Delhi,30408,151808,"15,181.00","74,592.00"
December 2022,Delhi,32640,162240,"16,224.00","79,520.00"
January 2023,Delhi,34800,172608,"17,261.00","84,360.00"
February 2023,Delhi,36360,180696,"18,071.00","88,704.00"
March 2023,Delhi,37920,188784,"18,879.00","93,048.00"
April 2023,Delhi,39480,196872,"19,687.00","97,392.00"
May 2023,Delhi,41760,207840,"20,785.00","102,688.00"
June 2023,Delhi,46128,229760,"22,978.00","113,328.00"
July 2023,Delhi,50496,251728,"25,175.00","123,968.00"
August 2023,Delhi,54864,273696,"27,377.00","134,608.00"
September 2023,Delhi,59232,295664,"29,568.00","145,248.00"
October 2023,Delhi,63600,317632,"31,765.00","155,904.00"
April 2016,Goa,10.00,50.00,5.00,25.00
May 2016,Goa,11.00,55.00,5.50,27.50
June 2016,Goa,12.00,60.00,6.00,30.00
July 2016,Goa,13.00,65.00,6.50,32.50
August 2016,Goa,14.00,70.00,7.00,35.00
September 2016,Goa,15.00,75.00,7.50,37.50
October 2016,Goa,16.00,80.00,8.00,40.00
November 2016,Goa,17.00,85.00,8.50,42.50
December 2016,Goa,18.00,90.00,9.00,45.00
January 2017,Goa,19.00,95.00,9.50,47.50
February 2017,Goa,20.00,100.00,10.00,50.00
March 2017,Goa,21.00,105.00,10.50,52.50
April 2017,Goa,22.00,110.00,11.00,55.00
May 2017,Goa,23.00,115.00,11.50,57.50
June 2017,Goa,24.00,120.00,12.00,60.00
July 2017,Goa,25.00,125.00,12.50,62.50
August 2017,Goa,26.00,130.00,13.00,65.00
September 2017,Goa,27.00,135.00,13.50,67.50
October 2017,Goa,28.00,140.00,14.00,70.00
November 2017,Goa,29.00,145.00,14.50,72.50
December 2017,Goa,30.00,150.00,15.00,75.00
January 2018,Goa,31.00,155.00,15.50,77.50
February 2018,Goa,32.00,160.00,16.00,80.00
March 2018,Goa,33.00,165.00,16.50,82.50
April 2018,Goa,34.00,170.00,17.00,85.00
